"API Key","Clé API"
"sobu API Key","Clé API sobu"
"Test API Key","Clé API test"
"sobu Test API Key","Clé API test sobu"
"Settings","Paramètres"
"Testmode?","Mode test"
"Public Key","Clé publique"
"Run in Testmode?","Le raccordement doit-il se faire en mode test?"
"Generate Key","Générer la clé"
"Generate RSA Key","Générer la clé RSA"
"sobu Benefit Code","Code bon sobu"
"sobu Benefit","Bon sobu bien utilisé"
"sobu Benefit was successfully applied","Bon sobu bien utilisé"
"Link not valid","Lien non valable"
"Bitte kopieren Sie diesen Link nach der Generierung in Ihr sobu-Portal","Veuillez copier ce lien après qu’il a été généré sur votre portail sobu"
"Mit sobu publizieren und profitieren","Publier et profiter avec sobu"
"Teilen Sie jetzt Ihren Einkauf auf Facebook, Twitter oder LinkedIn und schenken Sie Ihren Freunden einen Gutschein von <b>%s</b>. Als Dankeschön erhalten Sie <b>%s</b> Umsatzprovision auf die Einkäufe Ihrer Freunde!","Partagez dès maintenant votre achat sur Facebook, Twitter ou LinkedIn et faites cadeau d’un bon de <b>%s</b> à vos amis. Pour vous remercier, nous vous accordons une commission de <b>%s</b> sur chaque achat effectué par vos amis!"
"Meinen Einkauf empfehlen","Recommander mon achat"
"Sie werden nun zur sobu Plattform weitergeleitet...","Vous allez être redirigé vers la plate-forme sobu."
"Wenn diese Seite länger als fünf Sekunden angezeigt wird,","Si cette page ne disparaît pas après cinq secondes,"
"hier klicken","veuillez cliquer ici"
"Was ist sobu?","Qu’est-ce que sobu?"
"sobu ist eine Onlineshop-Plattform der Schweizerischen Post. Der Onlineservice baut auf dem Prinzip ´Kaufen, teilen und profitieren´ auf. Wer seinen Einkauf in Sozialen Netzwerken (Facebook, Linkedin oder Twitter) mit seinen Freunden teilt und Freunde zum Einkauf bei %s anregt, kann jetzt bares Geld verdienen!","sobu est une plateforme de boutiques en ligne de la Poste suisse. Ce service en ligne se base sur le principe «acheter – partager – profiter». Les personnes qui partagent leurs achats avec leurs amis sur les réseaux sociaux (Facebook, LinkedIn ou Twitter) et qui les incitent ainsi à effectuer un achat sur %s peuvent gagner de l’argent comptant!"
"Profitieren Sie von %s Provision auf den Einkauf Ihrer Freunde","Profite d’une commission de %s sur les achats de tes amis!"
"Sie erhalten satte %s Provision auf den Kaufbetrag jedes Einkaufs, welchen Ihre Freunde aufgrund Ihrer Kaufempfehlung tätigen. Sie verdienen also regelmässig bares Geld, wenn Ihre Freunde bei %s einkaufen!","Pour chaque achat effectué par tes amis suite à ta recommandation, tu toucheras une généreuse commission de %s du montant. Ainsi, tu gagneras régulièrement de l’argent comptant quand tes amis feront leurs achats sur %s!"
"In drei einfachen Schritten zu barem Geld","Trois étapes simples pour gagner de l’argent comptant!"
"So einfach geht`s:","Voici comment ça marche:"
"<strong>Kaufen:</strong> Nach einem Einkauf sehen Sie in diesem Shop den Hinweis, wie Sie die gekauften Produkte weiterempfehlen können. Registrieren Sie sich einmalig auf der sobu-Plattform.","<strong>Acheter:</strong> après avoir effectué un achat, tu verras dans la boutique la consigne à suivre pour recommander les produits achetés. Inscris-toi une seule fois sur la plateforme sobu."
"<strong>Teilen:</strong> Veröffentlichen Sie die erworbenen Artikel in den sozialen Netzwerken.","<strong>Partager:</strong> publie les articles que tu as achetés sur les réseaux sociaux."
"<strong>profitieren:</strong> Sie erhalten nun automatisch %s Provision auf jeden Auftrag, welchen Sie Ihren Freunden aufgrund des publizierten Links tätigen. Den angehäuften Geldbetrag können Sie Ihrem sobu-Konto entnehmen.","<strong>Profiter:</strong> désormais, tu recevras automatiquement une commission de %s sur chaque commande passée par tes amis à travers le lien publié sur les réseaux sociaux. Pour connaître le montant total, consulte ton compte sobu."
"%s Rabatt für jeden Ihrer Freunde!","%s de rabais pour chacun de tes amis!"
"Und es wird noch besser! Jeder Ihrer Freunde profitert einmalig von %s Rabatt, wenn er auf Ihren Empfehlungslink klickt und einen Einkauf tätigt. die %s werden automatisch vom Kaufbetrag abgezogen. Der Rabatt von %s kann nur einmal pro Person eingelöst werden.","Et ce n’est pas tout! En cliquant sur ton lien de recommandation, chacun de tes amis profite d’un rabais unique de %s sur son achat. Le rabais de %s sera automatiquement déduit du montant de l’achat. Le rabais de %s ne peut être utilisé qu’une seule fois par personne."
"Nun wünschen wir Ihnen viel Spass beim Onlineshopping - und beim Profitieren! Weitere Informationen zu sobu finden Sie auf <a target=""_blank"" href=""http://www.sobu.ch"">sobu.ch</a>","Profites-en et bon shopping en ligne! Pour plus d’informations sur sobu, consulte <a target=""_blank"" href=""http://www.sobu.ch/fr/"">sobu.ch</a>"
"Wenn Sie jetzt bestellen, <br />profitieren Sie dank der Empfehlung Ihres Freundes <br />von einem zusätzlichen Rabatt von <strong>%s</strong>.","En commandant maintenant, vous bénéficierez d’un rabais supplémentaire de %s grâce à la recommandation de votre ami."
"Dieser Rabatt wird Ihnen am Ende Ihrer Bestellung automatisch vom Totalbetrag abgezogen.","Le rabais sera déduit automatiquement du montant total à la fin de la commande."
"Jetzt %s Gutschein einlösen","Clique dès maintenant et reçois un rabais de %s!"
"//www.youtube.com/embed/gnmJ0B7lkkY","//www.youtube.com/v/Duibtm0uSBA"
"Ich habe gerade das Produkt ""%s"" gekauft.","Je viens juste d’acheter ""%s""."
"https://www.sobu.ch/publish","https://www.sobu.ch/fr/publish"
